filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
464527.txt,475,237,328,202,147,35,0.8523206751054853,0.6905263157894737,0.49894736842105264,10.874305785464626,0.8871946858134878,0.042143528785246964,0.797699530516431,0.7955555555555556,0.8474502134247249,93.2848112207592,85.12043512043512,92.07789473684211
470717.txt,282,148,120,97,162,51,0.6554054054054054,0.425531914893617,0.524822695035461,8.813271745796122,0.8857310499680384,0.04663564600186275,0.7891845493562243,0.8,0.8206442695839,80.44759622320899,73.70711608315943,74.4290780141844
473724.txt,354,177,151,115,203,62,0.6497175141242938,0.4265536723163842,0.5,9.40744386111339,0.8819028597771424,0.04633071364883283,0.7622950819672131,0.7485714285714286,0.8103897960750921,62.15581395348837,61.828471046827715,61.39265536723164
476986.txt,249,143,124,95,125,48,0.6643356643356644,0.4979919678714859,0.5742971887550201,9.062256782500034,0.8994811053919166,0.04194930389657071,0.813600000000001,0.8250000000000001,0.8471414816041645,84.2562630480167,78.62,83.12449799196787
489360.txt,328,148,142,88,186,60,0.5945945945945946,0.4329268292682927,0.45121951219512196,8.171932929538643,0.862627401139145,0.054602339940141256,0.7738351254480281,0.7999999999999999,0.8189253322465446,61.15421686746988,60.60943827374754,65.17073170731707
490764.txt,497,266,280,211,217,55,0.793233082706767,0.5633802816901409,0.5352112676056338,11.931730686832426,0.8993179265038492,0.03734004670779006,0.8088392857142839,0.8022222222222223,0.850197739040292,102.05714832281193,85.70965568030235,105.96981891348088
493021.txt,536,285,348,244,188,41,0.856140350877193,0.6492537313432836,0.5317164179104478,12.31012506453438,0.8994857581629796,0.03682967119341136,0.8163449691991774,0.826,0.8511621145664928,105.18166821381178,99.25693170784335,101.52798507462687
496331.txt,400,203,184,137,216,66,0.6748768472906403,0.46,0.5075,10.15,0.8867958638938149,0.04350558268582091,0.8017094017094019,0.8025,0.8371672418334981,70.3724401372334,79.15916403624885,83.95
502343.txt,283,121,145,83,138,38,0.6859504132231405,0.5123674911660777,0.4275618374558304,7.192703409160945,0.8494970606487866,0.06138501183078364,0.7470940170940175,0.7360000000000001,0.7875781774907838,55.74650428323574,51.48571428571429,57.44169611307421
508115.txt,272,130,118,84,154,46,0.6461538461538462,0.4338235294117647,0.47794117647058826,7.882407813680822,0.8683029462850406,0.054094609315321084,0.7529147982062788,0.7360000000000001,0.7981565248099232,64.7680608365019,55.84135103475205,64.90073529411765
516834.txt,238,163,136,111,102,52,0.6809815950920245,0.5714285714285714,0.6848739495798319,10.56572069390028,0.9308293585173202,0.029105155327412795,0.8722751322751326,0.885,0.8863825663324413,171.87397548687875,179.67572463768116,173.95378151260505
530017.txt,388,183,236,135,152,48,0.7377049180327869,0.6082474226804123,0.47164948453608246,9.290417410972616,0.8739274427777399,0.048698629569414356,0.8437168141592915,0.8428571428571429,0.8402284814003198,90.75784950419444,111.05493551587301,101.2860824742268
530153.txt,326,172,143,109,183,63,0.6337209302325582,0.4386503067484663,0.5276073619631901,9.526198940693433,0.8895085116573735,0.04396415508933232,0.7950902527075815,0.7933333333333333,0.8266953159534851,75.99769747437992,70.3705231560892,79.52147239263803
534034.txt,261,133,112,84,149,49,0.631578947368421,0.42911877394636017,0.5095785440613027,8.2324933258493,0.8788446748773252,0.05013378065739566,0.7653773584905661,0.764,0.7890921048741193,65.25,64.15400483710343,64.31800766283524
544897.txt,413,185,257,141,156,44,0.7621621621621621,0.6222760290556901,0.44794188861985473,9.103254879144773,0.8666724072072617,0.05096717833290289,0.7923076923076934,0.7925,0.8230745781839467,66.76998401278976,68.52203647416414,71.25181598062954
546137.txt,300,162,174,121,126,41,0.7469135802469136,0.58,0.54,9.353074360871936,0.891968857129153,0.043611568333611114,0.7916334661354587,0.7800000000000001,0.822910806399465,81.35265594967674,83.49171288638058,82.59333333333333
555078.txt,550,245,281,179,269,66,0.7306122448979592,0.5109090909090909,0.44545454545454544,10.446835101424911,0.8718430204599935,0.046766429871244145,0.7978043912175632,0.8018181818181819,0.8266021611787369,87.70369510319003,79.34503722084366,88.64
558848.txt,238,155,140,113,98,42,0.7290322580645161,0.5882352941176471,0.6512605042016807,10.047157715058548,0.9216329779125297,0.03297474624366088,0.8493121693121692,0.855,0.8649413374931259,121.5453629314804,119.97051184110008,128.06302521008402
566266.txt,720,323,436,266,284,57,0.8235294117647058,0.6055555555555555,0.4486111111111111,12.037499278873867,0.8781625958704594,0.04264026125125873,0.8145752608047654,0.8099999999999999,0.8374674096731701,91.40883733286107,86.45229298615999,96.77222222222223
